ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
11066228,,,,6.0,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,995000,residential_sale,,2,100.0,HYPER_EQUIPPED,0.0,0,1.0,10.0,,,,0.0,TO_RENOVATE,,,,,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/11066228
11065268,,,,6.0,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,995000,residential_sale,,2,100.0,HYPER_EQUIPPED,0.0,0,1.0,10.0,,,,0.0,TO_RENOVATE,,,,,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/11065268
11146121,Bisschoppenhoflaan,353,401,4.0,Antwerp,2100,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,174000,residential_sale,,2,76.0,,0.0,0,1.0,10.0,,,2.0,,GOOD,B,51.2339628,4.4639884,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2100/11146121
11146999,Matmeers,3,8,0.0,Brugge,8310,FLANDERS,Brugge,West Flanders,APARTMENT,PENTHOUSE,299000,residential_sale,1975.0,3,109.0,,,0,,,,,,,GOOD,C,51.2044475,3.2471752,,https://www.immoweb.be/en/classified/penthouse/for-sale/brugge/8310/11146999
11003554,Danislaan,55,,0.0,Beersel,1650,FLANDERS,Halle-Vilvoorde,Flemish Brabant,APARTMENT,APARTMENT,249000,residential_sale,1969.0,2,82.0,,,1,,,,,,,,,50.7696515,4.3175758,,https://www.immoweb.be/en/classified/apartment/for-sale/beersel/1650/11003554
10981769,Danislaan,55,,0.0,Beersel,1650,FLANDERS,Halle-Vilvoorde,Flemish Brabant,APARTMENT,APARTMENT,249000,residential_sale,1969.0,2,82.0,,,1,,,,,,,,,50.7696515,4.3175758,,https://www.immoweb.be/en/classified/apartment/for-sale/beersel/1650/10981769
11143046,Burg,53,3,2.0,Torhout,8820,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,225000,residential_sale,,2,,,,0,,,,,1.0,0.0,AS_NEW,B,51.0676517,3.1019346,,https://www.immoweb.be/en/classified/apartment/for-sale/torhout/8820/11143046
11120245,Steenweg op Sevendonk,1,4,2.0,Oud-Turnhout (Oud-Turnhout),2360,FLANDERS,Turnhout,Antwerp,APARTMENT,APARTMENT,175000,residential_sale,1985.0,2,91.0,,0.0,0,,,,,2.0,0.0,,D,51.3170994,4.9812579,,https://www.immoweb.be/en/classified/apartment/for-sale/oud-turnhout-oud-turnhout/2360/11120245
11120195,Steenweg op Sevendonk,1,4,2.0,Oud-Turnhout (Oud-Turnhout),2360,FLANDERS,Turnhout,Antwerp,APARTMENT,APARTMENT,175000,residential_sale,1985.0,2,91.0,,0.0,0,,,,,2.0,0.0,,D,51.3170994,4.9812579,,https://www.immoweb.be/en/classified/apartment/for-sale/oud-turnhout-oud-turnhout/2360/11120195
11146121,Bisschoppenhoflaan,353,401,4.0,Antwerp,2100,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,174000,residential_sale,,2,76.0,,0.0,0,1.0,10.0,,,2.0,,GOOD,B,51.2339628,4.4639884,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2100/11146121
11146999,Matmeers,3,8,0.0,Brugge,8310,FLANDERS,Brugge,West Flanders,APARTMENT,PENTHOUSE,299000,residential_sale,1975.0,3,109.0,,,0,,,,,,,GOOD,C,51.2044475,3.2471752,,https://www.immoweb.be/en/classified/penthouse/for-sale/brugge/8310/11146999
